ccc_course,ccc_description,current_label,current_label_title,current_label_pos,desc_inferred_pos,desc_match_text,suggested_correction,suggested_title,confidence,reason
PHYS 230 Physics for Engineers and Scientists B: Heat and Electro-Magnetism,"This course is a continuation of PHYS-130 and presents the study of thermodynamics, electricity, and magnetism. Topics include temperature, heat, the first and second laws of thermodynamics, kinetic theory of gases, electric field and electric potential of charges, capacitance, magnetic field of moving charges, current, voltage, resistance, induced electric and magnetic fields, Maxwell's equations",PHYS 6B,Introductory Physics II,2,1,first,PHYS 6A,Introductory Physics I,medium,"Desc says pos=1 ('first'), label is pos=2 (PHYS 6B)"
MATH 1B Calculus,This course examines the fundamentals of integral calculus. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is CSU and UC transferable. This course is a required core course for the A.S.-T degree in Mathematics. This is the second course in a sequence of four courses in calculus. This cou,MATH 19B,"Calculus for Science, Engineering, and Mathematics",2,1,first,MATH 19A,"Calculus for Science, Engineering, and Mathematics",medium,"Desc says pos=1 ('first'), label is pos=2 (MATH 19B)"
CHEM 1CH General Chemistry and Qualitative Analysis - HONORS,"This is the third and final quarter in the year-long General Chemistry sequence. In this class, advanced equilibrium concepts pertaining to solubility and buffers will be discussed. This will be followed by an introduction to electrochemistry, the chemistry of transition metals, and nuclear chemistry. Note: This course is part of the Honors Program. Faculty Requirements Course Family Not Applicabl",CHEM 1A,General Chemistry,1,3,third,CHEM 1C,General Chemistry,high,"Desc says pos=3 ('third'), label is pos=1 (CHEM 1A)"
PHYS 230 Physics for Engineers and Scientists B: Heat and Electro-Magnetism,"This course is a continuation of PHYS-130 and presents the study of thermodynamics, electricity, and magnetism. Topics include temperature, heat, the first and second laws of thermodynamics, kinetic theory of gases, electric field and electric potential of charges, capacitance, magnetic field of moving charges, current, voltage, resistance, induced electric and magnetic fields, Maxwell's equations",PHYS 6C,Introductory Physics III,3,1,first,PHYS 6A,Introductory Physics I,high,"Desc says pos=1 ('first'), label is pos=3 (PHYS 6C)"
CHEM 12 General Chemistry II,"This course is a continuation of Chem 11. Topics covered include kinetics, equilibrium, acid-base chemistry, precipitation reactions, coordination chemistry, thermodynamics, electrochemistry, and nuclear chemistry.",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,1,2,continuation of,CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,high,"Desc says pos=2 ('continuation of'), label is pos=1 (CHEM 4A)"
CHEM 1C General Chemistry and Qualitative Analysis,"This is the third and final quarter in the year-long General Chemistry sequence. In this class, advanced equilibrium concepts pertaining to solubility and buffers will be discussed. This will be followed by an introduction to electrochemistry, the chemistry of transition metals, and nuclear chemistry. Faculty Requirements Course Family Not Applicable Course Justification This course is a major pre",CHEM 1A,General Chemistry,1,3,third,CHEM 1C,General Chemistry,high,"Desc says pos=3 ('third'), label is pos=1 (CHEM 1A)"
PHYS 4B Physics for Scientists and Engineers II,"Covers electricity and magnetism for scientists and engineers. This is the second course in the calculus-based physics sequence. Students enrolled in the Honors Transfer Program may count this course towards the ""Honors Scholar"" designation with an Honors Contract. Fall semester and alternating summers.",PHYS 5C,Introduction to Physics III,3,2,second course,PHYS 5B,Introduction to Physics II,medium,"Desc says pos=2 ('second course'), label is pos=3 (PHYS 5C)"
CHEM 1AH General Chemistry - HONORS,"This course provides an introduction to the structure and reactivity of matter at the molecular level, as well as an application of critical reasoning to modern chemical theory and structured numerical problem-solving. Students will learn the development of molecular structure from rudimentary quantum mechanics, including an introduction to ionic and covalent bonding; chemical problem-solving invo",CHEM 4BL,Advanced General Chemistry Lab,2,1,first,CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,medium,"Desc says pos=1 ('first'), label is pos=2 (CHEM 4BL)"
CHEM 1B General Chemistry,"This course is a continuation of an introduction to the principles of chemistry covering the investigations of intermolecular forces and their effects on chemical and physical properties. Also covered are investigations of reversible reactions from the standpoints of kinetics, thermodynamics, and equilibrium. Investigation and application of gas laws and kinetic molecular theory. Faculty Requireme",CHEM 4AL,Advanced General Chemistry Lab,1,2,second,CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,medium,"Desc says pos=2 ('second'), label is pos=1 (CHEM 4AL)"
CHEM 121 General College Chemistry II,"This course is the second semester of a two-semester sequence (CHEM-120 and CHEM-121) that covers gaseous and acid-base equilibria, buffers, titration curves, solubility products, thermodynamics, electrochemistry, coordination complexes, nuclear chemistry, as well as qualitative and quantitative experiments. Laboratory work in this course will build upon techniques used in CHEM-120 and includes so",CHEM 3C,General Chemistry,3,2,second semester,CHEM 3B,General Chemistry,medium,"Desc says pos=2 ('second semester'), label is pos=3 (CHEM 3C)"
MATH 1C Calculus,"Students in this course will learn about infinite series, lines, and planes in three dimensions, vectors in two and three dimensions, parametric equations of curves, derivatives, and integrals of vector functions. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is CSU and UC transferable.",MATH 11B,Calculus with Applications,2,1,elementary,MATH 11A,Calculus with Applications,medium,"Desc says pos=1 ('elementary'), label is pos=2 (MATH 11B)"
MATH 1DH Calculus - HONORS,"Topics in this course include partial derivatives, multiple integrals, and vector calculus. Because it is an honors course, students will be expected to complete extra assignments to gain deeper insight into calculus. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is a required core cour",MATH 23B,Vector Calculus,2,3,advanced course,—,,medium,"Desc says pos=3 ('advanced course'), label is pos=2 (MATH 23B)"
CHEM 1A General Chemistry,"This course provides an introduction to the structure and reactivity of matter at the molecular level, as well as an application of critical reasoning to modern chemical theory and structured numerical problem-solving. Students will learn the development of molecular structure from rudimentary quantum mechanics, including an introduction to ionic and covalent bonding; chemical problem solving invo",CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,2,1,first,CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,medium,"Desc says pos=1 ('first'), label is pos=2 (CHEM 4B)"
PHYS 4B Physics for Scientists and Engineers II,"Covers electricity and magnetism for scientists and engineers. This is the second course in the calculus-based physics sequence. Students enrolled in the Honors Transfer Program may count this course towards the ""Honors Scholar"" designation with an Honors Contract. Fall semester and alternating summers.",PHYS 6C,Introductory Physics III,3,2,second course,PHYS 6B,Introductory Physics II,medium,"Desc says pos=2 ('second course'), label is pos=3 (PHYS 6C)"
CHEM 121 General College Chemistry II,"This course is the second semester of a two-semester sequence (CHEM-120 and CHEM-121) that covers gaseous and acid-base equilibria, buffers, titration curves, solubility products, thermodynamics, electrochemistry, coordination complexes, nuclear chemistry, as well as qualitative and quantitative experiments. Laboratory work in this course will build upon techniques used in CHEM-120 and includes so",CHEM 3CL,General Chemistry Lab,3,2,second semester,CHEM 3B,General Chemistry,medium,"Desc says pos=2 ('second semester'), label is pos=3 (CHEM 3CL)"
CHEM 12 General Chemistry II,"This course is a continuation of Chem 11. Topics covered include kinetics, equilibrium, acid-base chemistry, precipitation reactions, coordination chemistry, thermodynamics, electrochemistry, and nuclear chemistry.",CHEM 3CL,General Chemistry Lab,3,2,continuation of,CHEM 3B,General Chemistry,high,"Desc says pos=2 ('continuation of'), label is pos=3 (CHEM 3CL)"
CHEM 227 Organic Chemistry II,"This course is a continuation of CHEM-226. Topics include spectroscopy, additional reaction mechanisms, the nomenclature, physical properties, and reactions of other basic classes of compounds (aromatics, organometallics, aldehydes, ketones, carboxylic acids and their derivatives, and amines).  The nature and reactions of multifunctional compounds and the structure and reactions of biochemical mol",CHEM 8B,Organic Chemistry,2,3,advanced,—,,medium,"Desc says pos=3 ('advanced'), label is pos=2 (CHEM 8B)"
CHEM 1AH General Chemistry - HONORS,"This course provides an introduction to the structure and reactivity of matter at the molecular level, as well as an application of critical reasoning to modern chemical theory and structured numerical problem-solving. Students will learn the development of molecular structure from rudimentary quantum mechanics, including an introduction to ionic and covalent bonding; chemical problem-solving invo",CHEM 1C,General Chemistry,3,1,first,CHEM 1A,General Chemistry,high,"Desc says pos=1 ('first'), label is pos=3 (CHEM 1C)"
BIOL 21 Cell Biology and Evolution,"This is the first course of a three-course lecture and laboratory sequence for Biology majors, including Biology 21, 22, and 23. It describes how scientists approach the scientific method to generate scientific knowledge; studies the history, evidence, and mechanisms of evolution; identifies the chemistry of four classes of macromolecules; elucidates the cell principle including cell structure, fu",BIOE 20C,Ecology and Evolution,3,1,first course,—,,high,"Desc says pos=1 ('first course'), label is pos=3 (BIOE 20C)"
CHEM 120 General College Chemistry I,"This course is the first semester of a two-semester sequence (CHEM-120 and CHEM-121) that covers the fundamentals of chemistry including atomic theory, chemical reactions, bonding, structure, stoichiometry, gases, solutions, thermochemistry, and chemical kinetics. Basic laboratory techniques are introduced including the preparation of standard solutions, titration, and the generation of calibratio",CHEM 1C,General Chemistry,3,1,first semester,CHEM 1A,General Chemistry,high,"Desc says pos=1 ('first semester'), label is pos=3 (CHEM 1C)"
CHEM 11 General Chemistry I,"This course is the first semester of a two-semester, standard first year college chemistry course (Chemistry 11 and Chemistry 12). It introduces the fields of physical, analytical, inorganic, and organic chemistry. Topics to be discussed include atomic structure, chemical bonding, common types of reactions, stoichiometry, thermochemistry, and the properties of gases, liquids, and solids.",CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,2,1,first semester,CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,medium,"Desc says pos=1 ('first semester'), label is pos=2 (CHEM 4B)"
MATH 1CH Calculus - HONORS,"Students in this course will learn about infinite series, lines, and planes in three dimensions, vectors in two and three dimensions, parametric equations of curves, derivatives, and integrals of vector functions. Because it is an honors course the students will be expected to complete extra assignments to gain deeper insight into calculus. Faculty Requirements Course Family Not Applicable Course ",MATH 19B,"Calculus for Science, Engineering, and Mathematics",2,1,elementary,MATH 19A,"Calculus for Science, Engineering, and Mathematics",medium,"Desc says pos=1 ('elementary'), label is pos=2 (MATH 19B)"
